psiturk_id_sa,trial_no_sa,Participant_data_sa,psiturk_id_w,trial_no_w,Participant_data_w,psiturk_id_q,trial_no_q,Participant_data_q,state,action,observation,end_state,reward,cost,nearness_to_berth,total_reward
debug03yMs:debug4A70K,31,high,debug03yMs:debug4A70K,22,medium,debug03yMs:debug4A70K,16, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_medium_block_berth_1,wh_question,command_drop_berth_2,high_medium_drop_berth_2,10.0,-1.0,1.0,10.0
debug03yMs:debug4A70K,31,high,debug03yMs:debug4A70K,22,medium,debug03yMs:debug4A70K,17, wh_video_shown  Berth1 is blocked,,,,,,,,
debug03yMs:debug4A70K,31,high,debug03yMs:debug4A70K,22,medium,debug03yMs:debug4A70K,23, wh_put_bag  #1block_2drop,,,,,,,,
debug03yMs:debug4A70K,31,high,debug03yMs:debug4A70K,37,medium,debug03yMs:debug4A70K,40, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_medium_block_berth_1,wh_question,command_drop_berth_1,high_medium_drop_berth_1,-100.0,-1.0,1.0,-100.0
debug03yMs:debug4A70K,31,high,debug03yMs:debug4A70K,37,medium,debug03yMs:debug4A70K,41, wh_video_shown  Berth2 is blocked,,,,,,,,
debug03yMs:debug4A70K,31,high,debug03yMs:debug4A70K,37,medium,debug03yMs:debug4A70K,53, wh_put_bag  #2block_1drop,,,,,,,,
debug03yMs:debug4A70K,84,low,debug03yMs:debug4A70K,64,medium,debug03yMs:debug4A70K,90, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_medium_block_berth_1,wh_question,command_drop_berth_3,low_medium_drop_berth_3,10.0,-1.0,-2.0,7.0
debug03yMs:debug4A70K,84,low,debug03yMs:debug4A70K,64,medium,debug03yMs:debug4A70K,91, wh_video_shown  Berth1 is blocked,,,,,,,,
debug03yMs:debug4A70K,84,low,debug03yMs:debug4A70K,102,medium,debug03yMs:debug4A70K,117, wh_put_bag  #1block_3drop,,,,,,,,
debug03yMs:debug4A70K,84,low,debug03yMs:debug4A70K,127,high,debug03yMs:debug4A70K,137, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,low_high_block_berth_2,wh_question,command_drop_berth_2,high_high_drop_berth_2,-100.0,-1.0,1.0,-100.0
debug03yMs:debug4A70K,84,low,debug03yMs:debug4A70K,127,high,debug03yMs:debug4A70K,138, wh_video_shown  Berth1 is blocked,,,,,,,,
debug03yMs:debug4A70K,141,high,debug03yMs:debug4A70K,147,high,debug03yMs:debug4A70K,165, wh_put_bag  #1block_2drop,,,,,,,,
debug03yMs:debug4A70K,141,high,debug03yMs:debug4A70K,147,high,debug03yMs:debug4A70K,174, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_high_block_berth_2,wh_question,command_drop_berth_1,low_medium_drop_berth_1,-100.0,-1.0,1.0,-100.0
debug03yMs:debug4A70K,141,high,debug03yMs:debug4A70K,147,high,debug03yMs:debug4A70K,175, wh_video_shown  Berth3 is blocked,,,,,,,,
debug03yMs:debug4A70K,191,low,debug03yMs:debug4A70K,176,medium,debug03yMs:debug4A70K,210, wh_put_bag  #3block_1drop,,,,,,,,
debug03yMs:debug4A70K,191,low,debug03yMs:debug4A70K,217,high,debug03yMs:debug4A70K,231, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_1,low_high_drop_berth_1,-100.0,-1.0,1.0,-100.0
debug03yMs:debug4A70K,191,low,debug03yMs:debug4A70K,217,high,debug03yMs:debug4A70K,232, wh_video_shown  Berth3 is blocked,,,,,,,,
debug03yMs:debug4A70K,191,low,debug03yMs:debug4A70K,241,high,debug03yMs:debug4A70K,265, wh_put_bag  #3block_1drop,,,,,,,,
debug04d6o:debugTc05h,29,high,debug04d6o:debugTc05h,18,high,debug04d6o:debugTc05h,12, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,high_high_block_berth_3,wh_question,command_drop_berth_1,high_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug04d6o:debugTc05h,29,high,debug04d6o:debugTc05h,18,high,debug04d6o:debugTc05h,13, wh_video_shown  Berth3 is blocked,,,,,,,,
debug04d6o:debugTc05h,29,high,debug04d6o:debugTc05h,18,high,debug04d6o:debugTc05h,20, wh_put_bag  #3block_1drop,,,,,,,,
debug04d6o:debugTc05h,29,high,debug04d6o:debugTc05h,18,high,debug04d6o:debugTc05h,25, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,high_high_block_berth_3,wh_question,command_drop_berth_1,high_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug04d6o:debugTc05h,29,high,debug04d6o:debugTc05h,18,high,debug04d6o:debugTc05h,26, wh_video_shown  Berth3 is blocked,,,,,,,,
debug04d6o:debugTc05h,29,high,debug04d6o:debugTc05h,27,high,debug04d6o:debugTc05h,36, wh_put_bag  #3block_1drop,,,,,,,,
debug04d6o:debugTc05h,42,high,debug04d6o:debugTc05h,38,low,debug04d6o:debugTc05h,46, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_low_block_berth_2,wh_question,command_drop_berth_1,high_medium_drop_berth_1,-100.0,-1.0,1.0,-100.0
debug04d6o:debugTc05h,42,high,debug04d6o:debugTc05h,38,low,debug04d6o:debugTc05h,47, wh_video_shown  Berth3 is blocked,,,,,,,,
debug04d6o:debugTc05h,42,high,debug04d6o:debugTc05h,48,medium,debug04d6o:debugTc05h,59, wh_put_bag  #2block_1drop,,,,,,,,
debug04d6o:debugTc05h,42,high,debug04d6o:debugTc05h,61,high,debug04d6o:debugTc05h,66, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,high_high_block_berth_3,wh_question,command_drop_berth_2,low_high_drop_berth_2,-100.0,-1.0,1.0,-100.0
debug04d6o:debugTc05h,42,high,debug04d6o:debugTc05h,61,high,debug04d6o:debugTc05h,67, wh_video_shown  Berth1 is blocked,,,,,,,,
debug04d6o:debugTc05h,69,low,debug04d6o:debugTc05h,61,high,debug04d6o:debugTc05h,84, wh_put_bag  #1block_2drop,,,,,,,,
debug04d6o:debugTc05h,69,low,debug04d6o:debugTc05h,86,low,debug04d6o:debugTc05h,92, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_low_block_berth_1,wh_question,command_drop_berth_2,high_medium_drop_berth_2,10.0,-1.0,1.0,10.0
debug04d6o:debugTc05h,69,low,debug04d6o:debugTc05h,86,low,debug04d6o:debugTc05h,93, wh_video_shown  Berth1 is blocked,,,,,,,,
debug04d6o:debugTc05h,102,high,debug04d6o:debugTc05h,94,medium,debug04d6o:debugTc05h,120, wh_put_bag  #1block_2drop,,,,,,,,
debug04d6o:debugTc05h,102,high,debug04d6o:debugTc05h,123,medium,debug04d6o:debugTc05h,131, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_medium_block_berth_2,wh_question,command_drop_berth_2,high_medium_drop_berth_2,-100.0,-1.0,1.0,-100.0
debug04d6o:debugTc05h,102,high,debug04d6o:debugTc05h,123,medium,debug04d6o:debugTc05h,132, wh_video_shown  Berth1 is blocked,,,,,,,,
debug04d6o:debugTc05h,102,high,debug04d6o:debugTc05h,133,medium,debug04d6o:debugTc05h,159, wh_put_bag  #1block_2drop,,,,,,,,
debug0Hr98:debug1wr92,27,low,debug0Hr98:debug1wr92,21,low,debug0Hr98:debug1wr92,10, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,low_low_block_berth_2,yn_question,command_drop_berth_1,low_low_drop_berth_1,-100.0,-1.0,1.0,-100.0
debug0Hr98:debug1wr92,27,low,debug0Hr98:debug1wr92,21,low,debug0Hr98:debug1wr92,11, yn_video_shown  Berth3 is blocked.,,,,,,,,
debug0Hr98:debug1wr92,27,low,debug0Hr98:debug1wr92,21,low,debug0Hr98:debug1wr92,18, yes_no_put_bag  #3block_1drop,,,,,,,,
debug0Hr98:debug1wr92,114,low,debug0Hr98:debug1wr92,87,high,debug0Hr98:debug1wr92,131, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,low_high_block_berth_1,yn_question,command_drop_berth_3,low_high_drop_berth_3,10.0,-1.0,-2.0,7.0
debug0Hr98:debug1wr92,114,low,debug0Hr98:debug1wr92,87,high,debug0Hr98:debug1wr92,132, yn_video_shown  Berth1 is blocked.,,,,,,,,
debug0Hr98:debug1wr92,114,low,debug0Hr98:debug1wr92,87,high,debug0Hr98:debug1wr92,143, yes_no_put_bag  #1block_3drop,,,,,,,,
debug0Hr98:debug1wr92,114,low,debug0Hr98:debug1wr92,199,high,debug0Hr98:debug1wr92,214, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,low_high_block_berth_2,yn_question,command_drop_berth_3,high_high_drop_berth_3,10.0,-1.0,-2.0,7.0
debug0Hr98:debug1wr92,114,low,debug0Hr98:debug1wr92,199,high,debug0Hr98:debug1wr92,215, yn_video_shown  Berth2 is blocked.,,,,,,,,
debug0Hr98:debug1wr92,221,high,debug0Hr98:debug1wr92,199,high,debug0Hr98:debug1wr92,236, yes_no_put_bag  #2block_3drop,,,,,,,,
