psiturk_id_sa,trial_no_sa,Participant_data_sa,psiturk_id_w,trial_no_w,Participant_data_w,psiturk_id_q,trial_no_q,Participant_data_q,state,action,observation,end_state,reward,cost,nearness_to_berth,total_reward
debug03yMs:debug4A70K,31,high,debug03yMs:debug4A70K,37,medium,debug03yMs:debug4A70K,40, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_medium_block_berth_1,wh_question,command_drop_berth_1,high_medium_drop_berth_1,-100,-1,1,-100
debug03yMs:debug4A70K,84,low,debug03yMs:debug4A70K,127,high,debug03yMs:debug4A70K,137, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,low_high_block_berth_2,wh_question,command_drop_berth_2,high_high_drop_berth_2,-100,-1,1,-100
debug03yMs:debug4A70K,141,high,debug03yMs:debug4A70K,147,high,debug03yMs:debug4A70K,174, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_high_block_berth_2,wh_question,command_drop_berth_1,low_medium_drop_berth_1,-100,-1,1,-100
debug03yMs:debug4A70K,191,low,debug03yMs:debug4A70K,217,high,debug03yMs:debug4A70K,231, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_1,low_high_drop_berth_1,-100,-1,1,-100
debug04d6o:debugTc05h,42,high,debug04d6o:debugTc05h,38,low,debug04d6o:debugTc05h,46, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_low_block_berth_2,wh_question,command_drop_berth_1,high_medium_drop_berth_1,-100,-1,1,-100
debug04d6o:debugTc05h,42,high,debug04d6o:debugTc05h,61,high,debug04d6o:debugTc05h,66, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,high_high_block_berth_3,wh_question,command_drop_berth_2,low_high_drop_berth_2,-100,-1,1,-100
debug04d6o:debugTc05h,102,high,debug04d6o:debugTc05h,123,medium,debug04d6o:debugTc05h,131, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_medium_block_berth_2,wh_question,command_drop_berth_2,high_medium_drop_berth_2,-100,-1,1,-100
debug0Hr98:debug1wr92,27,low,debug0Hr98:debug1wr92,21,low,debug0Hr98:debug1wr92,10, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,low_low_block_berth_2,yn_question,command_drop_berth_1,low_low_drop_berth_1,-100,-1,1,-100
debug0Hr98:debug1wr92,221,high,debug0Hr98:debug1wr92,263,high,debug0Hr98:debug1wr92,315, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,high_high_block_berth_1,yn_question,command_drop_berth_3,high_high_drop_berth_3,-100,-1,-2,-103
debug0NzZ7:debugJXP33,84,low,debug0NzZ7:debugJXP33,74,high,debug0NzZ7:debugJXP33,93, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,low_high_block_berth_1,yn_question,command_drop_berth_3,low_high_drop_berth_3,-100,-1,-2,-103
debug0NzZ7:debugJXP33,84,low,debug0NzZ7:debugJXP33,146,medium,debug0NzZ7:debugJXP33,155, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,low_medium_block_berth_2,yn_question,command_drop_berth_3,low_medium_drop_berth_3,-100,-1,-2,-103
debug0NzZ7:debugJXP33,164,low,debug0NzZ7:debugJXP33,200,low,debug0NzZ7:debugJXP33,238, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 1?,low_low_block_berth_1,yn_question,command_drop_berth_1,low_low_drop_berth_1,-100,-1,1,-100
debug0OwTx:debug6ltDO,39,high,debug0OwTx:debug6ltDO,53,low,debug0OwTx:debug6ltDO,57, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,high_low_block_berth_2,yn_question,command_drop_berth_2,high_low_drop_berth_2,-100,-1,1,-100
debug0OwTx:debug6ltDO,93,low,debug0OwTx:debug6ltDO,153,medium,debug0OwTx:debug6ltDO,167, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,low_medium_block_berth_1,yn_question,command_drop_berth_1,low_medium_drop_berth_1,-100,-1,1,-100
debug0OwTx:debug6ltDO,313,low,debug0OwTx:debug6ltDO,335,low,debug0OwTx:debug6ltDO,358, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,low_low_block_berth_2,yn_question,command_drop_berth_2,low_low_drop_berth_2,-100,-1,1,-100
debug1CRSU:debugwVZAb,31,high,debug1CRSU:debugwVZAb,49,low,debug1CRSU:debugwVZAb,52, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 1?,high_low_block_berth_1,yn_question,command_drop_berth_1,high_low_drop_berth_1,-100,-1,1,-100
debug1CRSU:debugwVZAb,154,high,debug1CRSU:debugwVZAb,190,medium,debug1CRSU:debugwVZAb,219, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 1?,high_medium_block_berth_1,yn_question,command_drop_berth_3,high_medium_drop_berth_3,-100,-1,-2,-103
debug1CRSU:debugwVZAb,257,high,debug1CRSU:debugwVZAb,292,medium,debug1CRSU:debugwVZAb,324, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,high_medium_block_berth_1,yn_question,command_drop_berth_2,high_medium_drop_berth_2,-100,-1,-2,-103
debug1LzAv:debugDmNTH,35,high,debug1LzAv:debugDmNTH,25,medium,debug1LzAv:debugDmNTH,14, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_medium_block_berth_2,yn_question,command_drop_berth_2,high_medium_drop_berth_2,-100,-1,-2,-103
debug1LzAv:debugDmNTH,35,high,debug1LzAv:debugDmNTH,43,medium,debug1LzAv:debugDmNTH,46, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,high_medium_block_berth_1,yn_question,command_drop_berth_1,high_medium_drop_berth_1,-100,-1,1,-100
debug1LzAv:debugDmNTH,82,low,debug1LzAv:debugDmNTH,123,medium,debug1LzAv:debugDmNTH,133, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,low_medium_block_berth_2,yn_question,command_drop_berth_2,low_medium_drop_berth_2,-100,-1,1,-100
debug1LzAv:debugDmNTH,136,low,debug1LzAv:debugDmNTH,179,high,debug1LzAv:debugDmNTH,208, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,low_high_block_berth_1,yn_question,command_drop_berth_1,low_medium_drop_berth_1,-100,-1,1,-100
debug29vxq:debugvpMPK,164,high,debug29vxq:debugvpMPK,196,high,debug29vxq:debugvpMPK,228, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_high_block_berth_2,wh_question,command_drop_berth_3,low_high_drop_berth_3,-100,-1,-2,-103
debug29vxq:debugvpMPK,259,low,debug29vxq:debugvpMPK,295,high,debug29vxq:debugvpMPK,324, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_3,low_high_drop_berth_3,-100,-1,-2,-103
debug38sTM:debugAWg9L,57,low,debug38sTM:debugAWg9L,77,high,debug38sTM:debugAWg9L,80, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,low_high_block_berth_1,yn_question,command_drop_berth_3,INVALID,-100,-1,-2,-103
debug38sTM:debugAWg9L,138,low,debug38sTM:debugAWg9L,209,high,debug38sTM:debugAWg9L,221, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,low_high_block_berth_2,yn_question,command_drop_berth_3,high_high_drop_berth_3,-100,-1,-2,-103
debug38sTM:debugAWg9L,230,high,debug38sTM:debugAWg9L,266,high,debug38sTM:debugAWg9L,312, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_high_block_berth_2,yn_question,command_drop_berth_3,high_high_drop_berth_3,-100,-1,-2,-103
debug38sTM:debugAWg9L,349,high,debug38sTM:debugAWg9L,383,high,debug38sTM:debugAWg9L,411, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 1?,high_high_block_berth_1,yn_question,command_drop_berth_1,high_high_drop_berth_1,-100,-1,1,-100
debug3DvC4:debugy421X,124,low,debug3DvC4:debugy421X,108,low,debug3DvC4:debugy421X,134, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,low_low_block_berth_3,wh_question,command_drop_berth_1,low_low_drop_berth_1,-100,-1,1,-100
debug3DvC4:debugy421X,209,high,debug3DvC4:debugy421X,247,low,debug3DvC4:debugy421X,292, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_low_block_berth_1,wh_question,command_drop_berth_1,high_low_drop_berth_1,-100,-1,1,-100
debug3g2Ac:debugSC4lN,62,low,debug3g2Ac:debugSC4lN,85,low,debug3g2Ac:debugSC4lN,91, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,low_low_block_berth_2,yn_question,command_drop_berth_1,INVALID,-100,-1,-2,-103
debug3g2Ac:debugSC4lN,301,low,debug3g2Ac:debugSC4lN,359,medium,debug3g2Ac:debugSC4lN,420, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,low_medium_block_berth_1,yn_question,command_drop_berth_2,low_high_drop_berth_2,-100,-1,-2,-103
debug3o8fc:debugJhy69,157,high,debug3o8fc:debugJhy69,248,high,debug3o8fc:debugJhy69,272, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 1?,high_high_block_berth_1,yn_question,command_drop_berth_1,low_high_drop_berth_1,-100,-1,1,-100
debug3o8fc:debugJhy69,411,low,debug3o8fc:debugJhy69,449,medium,debug3o8fc:debugJhy69,485, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,low_medium_block_berth_2,yn_question,command_drop_berth_2,low_medium_drop_berth_2,-100,-1,-2,-103
debug3wX2V:debug5YbcO,27,high,debug3wX2V:debug5YbcO,38,medium,debug3wX2V:debug5YbcO,40, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_medium_block_berth_1,wh_question,command_drop_berth_2,high_medium_drop_berth_2,-100,-1,-2,-103
debug3wX2V:debug5YbcO,77,low,debug3wX2V:debug5YbcO,129,medium,debug3wX2V:debug5YbcO,139, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,low_medium_block_berth_2,wh_question,command_drop_berth_1,low_medium_drop_berth_1,-100,-1,1,-100
debug3wX2V:debug5YbcO,147,low,debug3wX2V:debug5YbcO,168,medium,debug3wX2V:debug5YbcO,203, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_medium_block_berth_1,wh_question,command_drop_berth_2,INVALID,-100,-1,-2,-103
debug3wX2V:debug5YbcO,226,high,debug3wX2V:debug5YbcO,259,high,debug3wX2V:debug5YbcO,277, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_high_block_berth_1,wh_question,command_drop_berth_2,high_high_drop_berth_2,-100,-1,-2,-103
debug4xnzE:debugT62bN,76,high,debug4xnzE:debugT62bN,131,high,debug4xnzE:debugT62bN,145, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_high_block_berth_2,yn_question,command_drop_berth_2,low_high_drop_berth_2,-100,-1,-2,-103
debug4xnzE:debugT62bN,235,low,debug4xnzE:debugT62bN,259,high,debug4xnzE:debugT62bN,286, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,low_high_block_berth_1,yn_question,command_drop_berth_1,low_high_drop_berth_1,-100,-1,1,-100
