psiturk_id_sa,trial_no_sa,Participant_data_sa,psiturk_id_w,trial_no_w,Participant_data_w,psiturk_id_q,trial_no_q,Participant_data_q,state,action,observation,end_state,reward,cost,nearness_to_berth,total_reward
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,16,low,debug02Bzm:debugGvW87,10.0, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_low_block_berth_1,wh_question,command_drop_berth_2,high_low_drop_berth_2,10.0,-1.0,1.0,10.0
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,16,low,debug02Bzm:debugGvW87,19.0, Comm_wh  correct,,,,,,,,
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,16,low,debug02Bzm:debugGvW87,20.0, Comm_wh  Berth2,,,,,,,,
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,23,low,debug02Bzm:debugGvW87,25.0, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_low_block_berth_1,wh_question,command_drop_berth_2,high_low_drop_berth_2,10.0,-1.0,1.0,10.0
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,23,low,debug02Bzm:debugGvW87,40.0, Comm_wh  correct,,,,,,,,
debug02Bzm:debugGvW87,52,high,debug02Bzm:debugGvW87,23,low,debug02Bzm:debugGvW87,41.0, Comm_wh  Berth2,,,,,,,,
debug02Bzm:debugGvW87,53,high,debug02Bzm:debugGvW87,44,high,debug02Bzm:debugGvW87,57.0, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,high_high_block_berth_3,wh_question,command_drop_berth_1,high_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug02Bzm:debugGvW87,53,high,debug02Bzm:debugGvW87,63,high,debug02Bzm:debugGvW87,78.0, Comm_wh  correct,,,,,,,,
debug02Bzm:debugGvW87,53,high,debug02Bzm:debugGvW87,63,high,debug02Bzm:debugGvW87,79.0, Comm_wh  Berth1,,,,,,,,
debug02Bzm:debugGvW87,53,high,debug02Bzm:debugGvW87,86,high,debug02Bzm:debugGvW87,99.0, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_high_block_berth_2,wh_question,command_drop_berth_1,low_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,113,high,debug02Bzm:debugGvW87,120.0, Comm_wh  correct,,,,,,,,
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,113,high,debug02Bzm:debugGvW87,121.0, Comm_wh  Berth1,,,,,,,,
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,113,high,debug02Bzm:debugGvW87,140.0, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_2,low_high_drop_berth_2,10.0,-1.0,1.0,10.0
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,145,high,debug02Bzm:debugGvW87,162.0, Comm_wh  correct,,,,,,,,
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,145,high,debug02Bzm:debugGvW87,163.0, Comm_wh  Berth2,,,,,,,,
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,173,high,debug02Bzm:debugGvW87,195.0, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_3,low_high_drop_berth_3,10.0,-1.0,-2.0,7.0
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,207,high,debug02Bzm:debugGvW87,216.0, Comm_wh  incorrect,,,,,,,,
debug02Bzm:debugGvW87,114,low,debug02Bzm:debugGvW87,207,high,debug02Bzm:debugGvW87,217.0, Comm_wh  Berth3,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,41,medium,debug09YJi:debuggibfO,43.0, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 1?,high_medium_block_berth_2,yn_question,command_yes_drop_berth_1,high_medium_drop_berth_1,10.0,-1.0,1.0,10.0
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,41,medium,debug09YJi:debuggibfO,65.0, Comm_yes_no  yes 1,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,41,medium,debug09YJi:debuggibfO,66.0, Comm_yes_no  correct,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,76,medium,debug09YJi:debuggibfO,114.0, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_medium_block_berth_3,yn_question,command_yes_drop_berth_2,high_medium_drop_berth_2,10.0,-1.0,1.0,10.0
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,126,medium,debug09YJi:debuggibfO,138.0, Comm_yes_no  yes 3,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,126,medium,debug09YJi:debuggibfO,139.0, Comm_yes_no  correct,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,173,low,debug09YJi:debuggibfO,182.0, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,high_low_block_berth_2,yn_question,command_yes_drop_berth_3,high_medium_drop_berth_3,10.0,-1.0,1.0,10.0
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,201,medium,debug09YJi:debuggibfO,207.0, Comm_yes_no  yes 6,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,201,medium,debug09YJi:debuggibfO,208.0, Comm_yes_no  correct,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,201,medium,debug09YJi:debuggibfO,230.0, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_medium_block_berth_3,yn_question,command_yes_drop_berth_2,high_high_drop_berth_2,10.0,-1.0,1.0,10.0
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,239,high,debug09YJi:debuggibfO,269.0, Comm_yes_no  yes 10,,,,,,,,
debug09YJi:debuggibfO,273,high,debug09YJi:debuggibfO,239,high,debug09YJi:debuggibfO,270.0, Comm_yes_no  correct,,,,,,,,
debug09YJi:debuggibfO,274,high,debug09YJi:debuggibfO,310,high,debug09YJi:debuggibfO,332.0, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 1?,high_high_block_berth_2,yn_question,command_yes_drop_berth_1,high_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug09YJi:debuggibfO,274,high,debug09YJi:debuggibfO,333,high,debug09YJi:debuggibfO,342.0, Comm_yes_no  yes 15,,,,,,,,
debug09YJi:debuggibfO,274,high,debug09YJi:debuggibfO,333,high,debug09YJi:debuggibfO,343.0, Comm_yes_no  correct,,,,,,,,
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,27,medium,debug0a3UO:debugYJli2,9.0, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 1?,high_medium_block_berth_3,yn_question,command_yes_drop_berth_1,high_medium_drop_berth_1,10.0,-1.0,1.0,10.0
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,27,medium,debug0a3UO:debugYJli2,28.0, Comm_yes_no  yes 1,,,,,,,,
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,27,medium,debug0a3UO:debugYJli2,29.0, Comm_yes_no  correct,,,,,,,,
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,47,high,debug0a3UO:debugYJli2,49.0, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_high_block_berth_3,yn_question,command_yes_drop_berth_2,high_high_drop_berth_2,10.0,-1.0,1.0,10.0
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,47,high,debug0a3UO:debugYJli2,64.0, Comm_yes_no  yes 2,,,,,,,,
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,47,high,debug0a3UO:debugYJli2,65.0, Comm_yes_no  correct,,,,,,,,
debug0a3UO:debugYJli2,65,high,debug0a3UO:debugYJli2,75,medium,debug0a3UO:debugYJli2,87.0, yn_question  questionI think Berth 2 is blocked. Can I put the bag on Berth 3?,high_medium_block_berth_2,yn_question,command_yes_drop_berth_3,low_medium_drop_berth_3,10.0,-1.0,1.0,10.0
debug0a3UO:debugYJli2,105,low,debug0a3UO:debugYJli2,108,medium,debug0a3UO:debugYJli2,121.0, Comm_yes_no  yes 4,,,,,,,,
debug0a3UO:debugYJli2,105,low,debug0a3UO:debugYJli2,108,medium,debug0a3UO:debugYJli2,122.0, Comm_yes_no  correct,,,,,,,,
debug0a3UO:debugYJli2,105,low,debug0a3UO:debugYJli2,144,medium,debug0a3UO:debugYJli2,158.0, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,low_medium_block_berth_3,yn_question,command_yes_drop_berth_2,high_medium_drop_berth_2,10.0,-1.0,1.0,10.0
debug0a3UO:debugYJli2,191,high,debug0a3UO:debugYJli2,144,medium,debug0a3UO:debugYJli2,192.0, Comm_yes_no  yes 7,,,,,,,,
debug0a3UO:debugYJli2,191,high,debug0a3UO:debugYJli2,144,medium,debug0a3UO:debugYJli2,193.0, Comm_yes_no  correct,,,,,,,,
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,201,medium,debug0a3UO:debugYJli2,233.0, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,low_medium_block_berth_1,yn_question,command_yes_drop_berth_2,low_low_drop_berth_2,10.0,-1.0,1.0,10.0
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,234,low,debug0a3UO:debugYJli2,255.0, Comm_yes_no  yes 11,,,,,,,,
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,234,low,debug0a3UO:debugYJli2,256.0, Comm_yes_no  correct,,,,,,,,
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,278,medium,debug0a3UO:debugYJli2,310.0, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,low_medium_block_berth_1,yn_question,command_yes_drop_berth_3,low_low_drop_berth_3,10.0,-1.0,1.0,10.0
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,336,low,debug0a3UO:debugYJli2,346.0, Comm_yes_no  yes 16,,,,,,,,
debug0a3UO:debugYJli2,231,low,debug0a3UO:debugYJli2,336,low,debug0a3UO:debugYJli2,347.0, Comm_yes_no  correct,,,,,,,,
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,23,low,debug0aYxj:debug4WLqg,10.0, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_low_block_berth_2,wh_question,command_drop_berth_1,high_low_drop_berth_1,10.0,-1.0,1.0,10.0
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,23,low,debug0aYxj:debug4WLqg,24.0, Comm_wh  correct,,,,,,,,
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,23,low,debug0aYxj:debug4WLqg,25.0, Comm_wh  Berth1,,,,,,,,
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,23,low,debug0aYxj:debug4WLqg,39.0, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,high_low_block_berth_1,wh_question,command_drop_berth_2,high_medium_drop_berth_2,10.0,-1.0,1.0,10.0
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,40,medium,debug0aYxj:debug4WLqg,58.0, Comm_wh  correct,,,,,,,,
debug0aYxj:debug4WLqg,24,high,debug0aYxj:debug4WLqg,40,medium,debug0aYxj:debug4WLqg,59.0, Comm_wh  Berth2,,,,,,,,
debug0aYxj:debug4WLqg,83,low,debug0aYxj:debug4WLqg,63,medium,debug0aYxj:debug4WLqg,85.0, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,low_medium_block_berth_2,wh_question,command_drop_berth_1,low_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug0aYxj:debug4WLqg,83,low,debug0aYxj:debug4WLqg,97,high,debug0aYxj:debug4WLqg,114.0, Comm_wh  correct,,,,,,,,
debug0aYxj:debug4WLqg,83,low,debug0aYxj:debug4WLqg,97,high,debug0aYxj:debug4WLqg,115.0, Comm_wh  Berth1,,,,,,,,
debug0aYxj:debug4WLqg,83,low,debug0aYxj:debug4WLqg,130,high,debug0aYxj:debug4WLqg,138.0, wh_question  questionI think Berth1 is blocked. Where you want me to put this bag?,low_high_block_berth_1,wh_question,command_drop_berth_2,high_high_drop_berth_2,10.0,-1.0,1.0,10.0
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,164,high,debug0aYxj:debug4WLqg,171.0, Comm_wh  correct,,,,,,,,
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,164,high,debug0aYxj:debug4WLqg,172.0, Comm_wh  Berth2,,,,,,,,
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,164,high,debug0aYxj:debug4WLqg,199.0, wh_question  questionI think Berth3 is blocked. Where you want me to put this bag?,high_high_block_berth_3,wh_question,command_drop_berth_1,high_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,204,high,debug0aYxj:debug4WLqg,231.0, Comm_wh  correct,,,,,,,,
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,204,high,debug0aYxj:debug4WLqg,232.0, Comm_wh  Berth1,,,,,,,,
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,243,high,debug0aYxj:debug4WLqg,266.0, wh_question  questionI think Berth2 is blocked. Where you want me to put this bag?,high_high_block_berth_2,wh_question,command_drop_berth_1,high_high_drop_berth_1,10.0,-1.0,1.0,10.0
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,288,high,debug0aYxj:debug4WLqg,298.0, Comm_wh  correct,,,,,,,,
debug0aYxj:debug4WLqg,139,high,debug0aYxj:debug4WLqg,288,high,debug0aYxj:debug4WLqg,299.0, Comm_wh  Berth1,,,,,,,,
debug0d3dF:debugEDRl0,37,high,debug0d3dF:debugEDRl0,44,medium,debug0d3dF:debugEDRl0,46.0, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,high_medium_block_berth_1,yn_question,command_yes_drop_berth_2,high_medium_drop_berth_2,10.0,-1.0,1.0,10.0
debug0d3dF:debugEDRl0,38,high,debug0d3dF:debugEDRl0,44,medium,debug0d3dF:debugEDRl0,63.0, Comm_yes_no  yes 1,,,,,,,,
debug0d3dF:debugEDRl0,39,high,debug0d3dF:debugEDRl0,44,medium,debug0d3dF:debugEDRl0,64.0, Comm_yes_no  incorrect,,,,,,,,
debug0d3dF:debugEDRl0,165,high,debug0d3dF:debugEDRl0,163,high,debug0d3dF:debugEDRl0,202.0, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,high_high_block_berth_1,yn_question,command_yes_drop_berth_2,high_high_drop_berth_2,10.0,-1.0,1.0,10.0
debug0d3dF:debugEDRl0,165,high,debug0d3dF:debugEDRl0,207,high,debug0d3dF:debugEDRl0,229.0, Comm_yes_no  yes 3,,,,,,,,
debug0d3dF:debugEDRl0,165,high,debug0d3dF:debugEDRl0,207,high,debug0d3dF:debugEDRl0,230.0, Comm_yes_no  incorrect,,,,,,,,
debug0d3dF:debugEDRl0,165,high,debug0d3dF:debugEDRl0,252,high,debug0d3dF:debugEDRl0,273.0, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 2?,high_high_block_berth_1,yn_question,command_yes_drop_berth_2,high_high_drop_berth_2,10.0,-1.0,1.0,10.0
debug0d3dF:debugEDRl0,165,high,debug0d3dF:debugEDRl0,294,high,debug0d3dF:debugEDRl0,303.0, Comm_yes_no  yes 8,,,,,,,,
debug0d3dF:debugEDRl0,165,high,debug0d3dF:debugEDRl0,294,high,debug0d3dF:debugEDRl0,304.0, Comm_yes_no  incorrect,,,,,,,,
debug19lMR:debugx8nBO,51,high,debug19lMR:debugx8nBO,17,low,debug19lMR:debugx8nBO,10.0, yn_question  questionI think Berth 3 is blocked. Can I put the bag on Berth 2?,high_low_block_berth_3,yn_question,command_yes_drop_berth_2,high_low_drop_berth_2,10.0,-1.0,1.0,10.0
debug19lMR:debugx8nBO,51,high,debug19lMR:debugx8nBO,17,low,debug19lMR:debugx8nBO,18.0, Comm_yes_no  yes 1,,,,,,,,
debug19lMR:debugx8nBO,51,high,debug19lMR:debugx8nBO,17,low,debug19lMR:debugx8nBO,19.0, Comm_yes_no  incorrect,,,,,,,,
debug19lMR:debugx8nBO,51,high,debug19lMR:debugx8nBO,32,low,debug19lMR:debugx8nBO,34.0, yn_question  questionI think Berth 1 is blocked. Can I put the bag on Berth 3?,high_low_block_berth_1,yn_question,command_yes_drop_berth_3,high_low_drop_berth_3,10.0,-1.0,1.0,10.0
debug19lMR:debugx8nBO,51,high,debug19lMR:debugx8nBO,32,low,debug19lMR:debugx8nBO,45.0, Comm_yes_no  yes 2,,,,,,,,
debug19lMR:debugx8nBO,51,high,debug19lMR:debugx8nBO,32,low,debug19lMR:debugx8nBO,46.0, Comm_yes_no  incorrect,,,,,,,,
